City,Population
Corpus Christi ,322726
New York,8560072
Toledo,279455
Cleveland ,388812
Nashville,654187
Houston,2267336
Louisville,615478
Detroit,679865
Las Vegas ,621662
Anchorage,298225
Phoenix,1574421
San Diego ,1390966
Los Angeles,3949776
Miami,443007
Atlanta,465230
Chicago,2722586
Fort Wayne,262450
