"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1970",,,"1147",,"1147","0","104","0","62","0","16",,"6","0","0","0","95","0","24","0","145","0","13","0","6","0,0109,","3",",0,0215,","2.7",",0,0215,","1.52",",0,0823,","93","0,0802,+","26","0,1123","26","0,1123","23","0,1124","18","0,1208",,,"32","0,0406","22","0,0330","22","0,0330","13","0,0226","13","0,0226","5260",,"5260","0","29.18",",0","15.6",",0","53.8","0","60.8","0","46.8","0","260","X",,,,,,,"44.1","X",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1971",,,"1236",,"1236","0","103","0","61","0","8",,"5","0","0","0","76","0","18","0","147","0","18","0","7","0,0202,+","6",",0,0102,","6.0",",0,0101,","2.49",",0,0827,","97","0,0708,","27","0,1109","27","0,1109","23","0,1202",,,,,"31","0,0401","27","0,0326","24","0,0217","17","0,0210","10","0,0203","5208",,"5208","0","37.56",",0","17.9",",0","54.9","0","61.9","0","48.0","0","280","X",,,,,,,"44.1","X",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1972",,,"942",,"942","0","135","0","89","0","11",,"5","0","0","0","65","0","12","0","134","0","8","0","9","0,0116,","3",",0,0224,+","3.4",",0,0219,","3.92",",0,1108,","100","0,0723,","32","0,1121","25","0,1123","22","0,1217",,,,,"31","0,0409","28","0,0408","23","0,0311","14","0,0223","14","0,0223","4494",,"4494","0","49.06",",0","14.8",",0","54.4","0","61.2","0","47.6","0","260","X",,,,,,,"46.1","X",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1973",,,"898",,"898","0","110","0","77","0","2",,"0","0","0","0","56","0","13","0","129","0","8","0","11","0,0217,+","1",",0,1217,+","0.8",",0,0129,","2.03",",0,1029,","98","0,0828,","32","0,1109","28","0,1111","24","0,1213","16","0,1217","16","0,1217","31","0,0321","23","0,0228","23","0,0228","12","0,0218","12","0,0218","4496",,"4496","0","42.05",",0","2.1",",0","54.8","0","62.0","0","47.5","0","160","X",,,,,,,"44.1","X",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1974",,,"937",,"937","0","110","0","71","0","12",,"7","0","0","0","74","0","19","0","131","0","10","0","10","0,0118,","6",",0,0209,","6.3",",0,0208,","2.46",",0,1216,","97","0,0709,","32","0,1021","28","0,1123",,,,,,,"29","0,0410","27","0,0329","23","0,0325","20","0,0216","15","0,0210","4900",,"4900","0","37.11",",0","21.5",",0","54.2","0","61.4","0","47.0","0","60","X",,,,,,,"46.1","X",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1975",,,"858",,"858","0","126","0","82","0","8",,"2","0","0","0","65","0","9","0","135","0","8","0","14","0,1225,","6",",0,0213,","5.7",",0,0212,","3.08",",0,0926,","98","0,0802,","32","0,1202","27","0,1204","22","0,1218","19","0,1219","15","0,1224","30","0,0407","28","0,0405","24","0,0327","18","0,0309","16","0,0210","4802",,"4802","0","57.21",",0","11.5",",0","54.6","0","61.1","0","48.0","0","270","X",,,,,,,"42.9","X",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1976",,,"763",,"763","0","113","0","71","0","21",,"9","0","0","0","98","0","28","0","123","0","5","0","2","0,0123,","5",",0,0310,+","4.7",",0,0309,","3.77",",0,0808,","93","0,0822,","31","0,1019","28","0,1108","19","0,1130","19","0,1130","11","0,1203","28","0,0412","28","0,0412","21","0,0318","17","0,0207","15","0,0203","4678",,"4678","0","40.24",",0","25.3",",0","52.2","0","59.4","0","45.0","0","320","X",,,,,,,"44.1","X",,,,,"67.8","X"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1977",,,"858",,"858","0","126","0","85","0","32",,"9","0","1","0","85","0","37","0","135","0","13","0","-1","0,0117,","7",",0,0119,+","5.3",",0,0114,","2.58",",0,1108,","95","0,0719,","30","0,1114","27","0,1127","24","0,1207","18","0,1209","15","0,1210","26","0,0409","26","0,0409","24","0,0325","20","0,0222","14","0,0217","5786",,"5786","0","48.69",",0","18.5",",0","52.3","0","59.4","0","45.2","0","20","X",,,,,,,"46.1","X",,,,,"56.4","X"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1978",,,"1014",,"1014","0","112","0","79","0","44",,"12","0","0","0","84","0","33","0","137","0","12","0","9","0,0205,","14",",0,0208,+","11.0",",0,0206,","2.03",",0,0514,","99","0,0723,","28","0,1126","28","0,1126","24","0,1211",,,,,"31","0,0403","28","0,0309","24","0,0308","20","0,0306","14","0,0305","5556",,"5556","0","40.97",",0","48.9",",0","53.3","0","60.4","0","46.2","0","160","X",,,,,,,"42.9","X",,,,,"58.6","X"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1979",,,"799",,"799","0","130","0","86","0","21",,"6","0","0","0","65","0","27","0","126","0","3","0","2","0,0218,","10",",0,0220,","10.2",",0,0219,","2.59",",0,0121,","93","0,0808,","32","0,1129","28","0,1130","20","0,1217","20","0,1217",,,"32","0,0328","22","0,0316","22","0,0316","15","0,0220","15","0,0220","4836",,"4836","0","47.23",",0","27.7",",0","53.5","0","60.0","0","46.9","0","90","X",,,,,,,"42.9","X",,,,,"59.7","X"
