City,Population,YEAR,avg(SNOW)
Anchorage,298225,2018,8.607692307692307
Atlanta,465230,2018,
Chicago,2722586,2018,3.608333333333333
Cleveland ,388812,2018,
Corpus Christi ,322726,2018,0.0
Detroit,679865,2018,
Fort Wayne,262450,2018,1.9750000000000003
Houston,2267336,2018,0.0
Los Angeles,3949776,2018,
Louisville,615478,2018,1.616666666666667
Miami,443007,2018,
Nashville,654187,2018,
New York,8560072,2018,
Phoenix,1574421,2018,
San Diego ,1390966,2018,
Toledo,279455,2018,2.0166666666666666
