"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1960",,,"709",,"709","0","117","0","64","0","41",,"9","0","6","0","135","0","64","0","152","0","8","0","-13","0,1223,","7",",0,1224,+","7.0",",0,0225,","1.42",",0,0622,","95","0,0908,","28","0,1020","28","0,1020","23","0,1025","20","0,1130","15","0,1201","31","0,0411","23","0,0410","23","0,0410","7","0,0325","7","0,0325","6553",,"6553","0","28.59",",0",,,"33.7",",0","48.8","0","58.2","0","39.4","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1961",,,"860",,"860","0","134","0","76","0","40",,"9","0","11","0","134","0","43","0","142","0","5","0","-9","0,1231,+","6",",0,1225,+","4.9",",0,0409,","1.58",",0,0805,","94","0,0701,","32","0,0929","27","0,1027","24","0,1104","18","0,1128","14","0,1208","31","0,0527","28","0,0411","24","0,0408","19","0,0317","14","0,0206","6379",,"6379","0","36.18",",0",,,"29.6",",0","49.8","0","59.0","0","40.6","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1962",,,"909",,"909","0","116","0","64","0","45",,"10","0","9","0","135","0","51","0","157","0","18","0","-9","0,0110,","6",",0,0224,","5.3",",0,0223,","1.42",",0,0526,","101","0,0820,","30","0,1024","26","0,1025","24","0,1026","19","0,1126","16","0,1208","29","0,0420","26","0,0416","24","0,0403","20","0,0305","14","0,0303","6340",,"6340","0","24.43",",0",,,"28.5",",0","49.7","0","59.4","0","40.0","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1963",,,"703",,"703","0","114","0","63","0","60",,"10","0","32","0","136","0","65","0","168","0","11","0","-18","0,0227,+","9",",0,0228,","3.5",",0,0223,","2.56",",0,0417,","96","0,0702,","27","0,1030","27","0,1030","23","0,1124","20","0,1201","4","0,1213","31","0,0523","27","0,0501","24","0,0410","20","0,0322","-4","0,0302","6847",,"6847","0","26.61",",0",,,"31.7",",0","48.7","0","59.7","0","37.7","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1964",,,"893",,"893","0","113","0","72","0","43",,"15","0","8","0","134","0","40","0","159","0","32","0","-5","0,1209,+","10",",0,0312,","12.6",",0,0310,","1.65",",0,0707,","98","0,0802,","26","0,1007","26","0,1007","24","0,1011","19","0,1120","11","0,1121","30","0,0411","25","0,0409","18","0,0401","18","0,0401","12","0,0318","5973",,"5973","0","28.55",",0",,,"49.8",",0","50.6","0","61.4","0","39.7","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1965",,,"707",,"707","0","135","0","79","0","31",,"9","0","9","0","127","0","41","0","147","0","12","0","-10","0,0117,","8",",0,0227,+","4.6",",0,0225,","2.54",",0,1021,","95","0,0816,+","32","0,1004","28","0,1005","23","0,1029","19","0,1129","15","0,1226","31","0,0429","24","0,0403","24","0,0403","17","0,0328","1","0,0327","6486",,"6486","0","37.29",",0","53.2","X","30.4",",0","50.0","0","59.5","0","40.6","0","147750",",X",,,,,,,,,"360","X",,,,,,,,,"55.0","X"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1966",,,"605",,"605","0","132","0","70","0","36",,"10","0","6","0","138","0","50","0","122","0","9","0","-8","0,0130,","6",",0,1104,+","3.4",",0,1210,+","2.60",",0,0709,","94","0,0703,+","31","0,1002","28","0,1006","21","0,1103","17","0,1104","9","0,1201","27","0,0510","27","0,0510","24","0,0329","18","0,0328","16","0,0222","6262",,"6262","0","33.91",",0","56.1","X","30.7",",0","47.9","0","57.3","0","38.6","0","155328",",X",,,,,,,,,"360","X",,,,,,,,,"42.9","X"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1967",,,"548",,"548","0","151","0","76","0","45",,"13","0","9","0","137","0","55","0","138","0","6","0","-13","0,0208,","5",",0,0207,+","5.0",",0,0205,","1.53",",0,1202,","92","0,0616,+","32","0,0923","28","0,1022","24","0,1104","18","0,1106","15","0,1128","30","0,0503","24","0,0425","24","0,0425","17","0,0319","8","0,0318","6684",,"6684","0","32.85",",0","53.2","X","35.4",",0","47.8","0","57.5","0","38.2","0","147144",",X",,,,,,,,,"270","X",,,,,,,,,"61.1","X"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1968",,,"800",,"800","0","133","0","78","0","35",,"6","0","8","0","133","0","50","0","141","0","17","0","-17","0,0108,","8",",0,0116,+","3.6",",0,0322,+","2.72",",0,0516,","92","0,0821,+","30","0,1005","24","0,1030","24","0,1030","17","0,1206","15","0,1207","30","0,0506","28","0,0411","24","0,0324","10","0,0314","10","0,0314","6876",,"6876","0","36.09",",0","60.0","X","24.8",",0","49.2","0","58.7","0","39.7","0","165768",",X",,,,,,,,,"225","X",,,,,,,,,"53.9","X"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1969",,,"841",,"841","0","123","0","72","0","31",,"5","0","5","0","144","0","51","0","139","0","16","0","-4","0,0101,","4",",0,1231,","3.7",",0,1231,","2.26",",0,1012,","93","0,0906,+","32","0,1017","28","0,1023","18","0,1114","18","0,1114","16","0,1116","32","0,0425","13","0,0331","13","0,0331","13","0,0331","13","0,0331","6410",,"6410","0","37.51",",0","56.3","X","22.0",",0","49.2","0","58.6","0","39.9","0","155202",",X",,,,,,,,,"270","X",,,,,,,,,"55.9","X"
