"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1960",,,"1223",,"1223","0","110","0","69","0","22",,"12","0","4","0","119","0","25","0","187","0","20","0","-9","0,1222,","8",",0,0310,","9.2",",0,0309,","5.12",",0,0623,","94","0,0905,+","32","0,1020","28","0,1025","24","0,1110","19","0,1201","15","0,1202","32","0,0411","20","0,0325","20","0,0325","20","0,0325","13","0,0314","4809",,"4809","0","38.70",",0",,,"43.0",",0","54.5","0","64.5","0","44.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1961",,,"1126",,"1126","0","125","0","78","0","23",,"6","0","2","0","94","0","22","0","163","0","26","0","-8","0,0128,","9",",0,0226,","9.5",",0,0225,","4.60",",0,0507,","94","0,0801,+","32","0,1015","27","0,1027","24","0,1128","19","0,1129","16","0,1213","32","0,0419","27","0,0411","20","0,0226","20","0,0226","6","0,0204","5042",,"5042","0","50.06",",0",,,"27.2",",0","54.7","0","64.8","0","44.6","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1962",,,"1350",,"1350","0","127","0","73","0","5",,"5","0","5","0","104","0","22","0","178","0","27","0","-6","0,0110,","1",",0,1211,+","1.7",",0,0119,","2.36",",0,1002,","101","0,0820,","31","0,1024","25","0,1026","23","0,1123","18","0,1209","12","0,1210","32","0,0417","24","0,0318","24","0,0318","17","0,0302","16","0,0301","4660",,"4660","0","39.92",",0",,,"11.7",",0","55.1","0","65.4","0","44.7","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1963",,,"1092",,"1092","0","106","0","60","0","22",,"4","0","9","0","103","0","32","0","197","0","13","0","-20","0,0124,","5",",0,0124,","4.6",",0,0123,","2.72",",0,0316,","95","0,0803,","32","0,1030","24","0,1103","24","0,1103","9","0,1214","9","0,1214","32","0,0502","26","0,0323","9","0,0227","9","0,0227","9","0,0227","5048",,"5048","0","38.46",",0",,,"16.9",",0","54.5","0","65.8","0","43.3","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1964",,,"1322",,"1322","0","113","0","70","0","12",,"4","0","1","0","102","0","9","0","192","0","46","0","-1","0,0114,","7",",0,0114,+","7.2",",0,0101,","6.97",",0,0309,","101","0,0803,","27","0,1010","27","0,1010","17","0,1121","17","0,1121","10","0,1122","30","0,0410","25","0,0401","20","0,0330","20","0,0330","16","0,0227","4571",,"4571","0","46.58",",0",,,"24.3",",0","56.3","0","67.7","0","44.9","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1965",,,"1356",,"1356","0","114","0","72","0","19",,"9","0","1","0","93","0","16","0","179","0","20","0","-5","0,0131,","4",",0,0130,+","5.4",",0,0116,","2.95",",0,0901,","97","0,0724,","30","0,1025","27","0,1030","24","0,1118","20","0,1130",,,"31","0,0403","26","0,0327","24","0,0321","18","0,0319","16","0,0226","4585",,"4585","0","39.81",",0","59.8","X","20.4",",0","56.5","0","66.8","0","46.2","0","163134",",X",,,,,,,,,"270","X",,,,,,,,,"46.1","X"
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1966",,,"1261",,"1261","0","116","0","69","0","22",,"3","0","3","0","93","0","31","0","169","0","37","0","-9","0,0130,","11",",0,0203,+","12.9",",0,1102,","2.56",",0,0101,","101","0,0713,","31","0,1026","26","0,1103","21","0,1104","18","0,1202","13","0,1203","31","0,0510","28","0,0410","23","0,0329","17","0,0308","16","0,0222","4728",,"4728","0","44.94",",0","59.6","X","33.9",",0","54.8","0","64.1","0","45.4","0","164502",",X",,,,,,,,,"315","X",,,,,,,,,"59.9","X"
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1967",,,"1030",,"1030","0","132","0","81","0","7",,"5","0","1","0","88","0","18","0","178","0","13","0","0","0,0225,","8",",0,0307,","8.1",",0,0306,","2.40",",0,0809,","93","0,0725,","26","0,1105","26","0,1105","24","0,1108","19","0,1223","16","0,1227","32","0,0322","22","0,0319","22","0,0319","19","0,0318","5","0,0226","4493",,"4493","0","43.94",",0","56.7","X","20.2",",0","55.4","0","65.4","0","45.4","0","153966",",X",,,,,,,,,"315","X",,,,,,,,,"61.1","X"
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1968",,,"1315",,"1315","0","131","0","74","0","18",,"7","0","2","0","101","0","26","0","179","0","35","0","-2","0,0101,","11",",0,0323,","12.0",",0,0322,","2.14",",0,0404,","96","0,0824,","29","0,1026","26","0,1113","23","0,1121","20","0,1207","16","0,1217","30","0,0325","25","0,0324","22","0,0314","20","0,0313","15","0,0226","4854",,"4854","0","37.31",",0","56.1","X","29.8",",0","55.5","0","65.0","0","45.9","0","152622",",X",,,,,,,,,"270","X",,,,,,,,,"51.9","X"
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1969",,,"1271",,"1271","0","123","0","77","0","17",,"6","0","0","0","103","0","13","0","180","0","22","0","4","0,0104,","3",",0,1227,+","3.3",",0,1225,","1.72",",0,0819,","94","0,0705,","30","0,1018","28","0,1028","21","0,1114","20","0,1115",,,"19","0,0331","19","0,0331","19","0,0331","19","0,0331","15","0,0312","4578",,"4578","0","36.82",",0","59.2","X","20.2",",0","55.2","0","64.8","0","45.6","0","162600",",X",,,,,,,,,"315","X",,,,,,,,,"40.0","X"
